City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
118,Upernavik,GL,72.7868,-56.1549,253.83,95,100,4.58,overcast clouds
119,Behren-Les-Forbach,FR,49.1664,6.9434,284.65,50,0,5.66,clear sky
120,Beloha,MG,-25.1667,45.05,300.39,70,11,7.77,few clouds
121,Xiaoshi,CN,41.2971,124.1209,266.16,86,100,0.74,light snow
122,Wucheng,CN,29.6008,118.175,279.29,97,100,0.65,overcast clouds
123,Puerto Leguizamo,CO,-0.1934,-74.7819,300.36,84,100,1.34,overcast clouds
124,Kaitangata,NZ,-46.2817,169.8464,284.78,86,34,1.69,scattered clouds
125,Mustasaari,FI,63.1142,21.6822,275.12,93,100,6.17,light intensity drizzle
126,Broken Hill,AU,-31.95,141.4333,301.99,26,58,5.66,broken clouds
127,Namanyere,TZ,-7.5167,31.05,293.54,87,82,1.37,light rain
128,Esperance,AU,-33.8667,121.9,290.06,69,0,7.0,clear sky
129,Lac Du Bonnet,CA,50.2536,-96.0612,247.71,94,100,3.74,overcast clouds
130,East London,ZA,-33.0153,27.9116,298.67,78,20,6.17,few clouds
131,Atar,MR,20.5169,-13.0499,301.03,11,70,5.36,broken clouds
132,Matara,LK,5.9485,80.5353,296.69,90,100,4.8,overcast clouds
133,Pacific Grove,US,36.6177,-121.9166,290.53,57,0,0.0,clear sky
134,Siavonga,ZM,-16.5382,28.7088,301.7,59,32,0.85,scattered clouds
135,Bambanglipuro,ID,-7.95,110.2833,290.71,89,100,0.57,overcast clouds
136,Pevek,RU,69.7008,170.3133,245.31,98,100,3.84,overcast clouds
137,Sitka,US,57.0531,-135.33,275.09,80,75,2.06,broken clouds
138,Ambulu,ID,-8.345,113.6058,297.54,93,100,0.87,overcast clouds
139,Mamallapuram,IN,12.6264,80.1722,300.4,74,21,5.16,few clouds
140,Lasa,IT,46.6166,10.7002,278.87,61,4,1.63,clear sky
141,Hasaki,JP,35.7333,140.8333,276.37,98,100,15.01,light rain
142,Semporna,MY,4.4818,118.6112,298.26,85,99,1.72,overcast clouds
143,Acapulco,MX,16.8634,-99.8901,297.05,73,0,2.06,clear sky
144,Kununurra,AU,-15.7667,128.7333,301.14,78,75,4.12,broken clouds
145,Coquimbo,CL,-29.9533,-71.3436,292.0,72,75,1.54,broken clouds
146,Nirgua,VE,10.1553,-68.5663,299.8,50,33,1.15,scattered clouds
147,Alta Floresta,BR,-9.8756,-56.0861,303.05,66,40,3.09,scattered clouds
148,Pinega,RU,64.7001,43.3936,263.17,95,91,2.71,overcast clouds
149,Goias,BR,-15.5807,-49.6362,295.01,93,99,2.84,overcast clouds
150,Rahuri,IN,19.3833,74.65,298.33,27,0,2.73,clear sky
151,Tasiilaq,GL,65.6145,-37.6368,266.24,70,100,1.89,overcast clouds
152,Fomboni,KM,-12.28,43.7425,301.01,75,30,2.51,light rain
153,Samarkand,UZ,39.6542,66.9597,278.83,70,40,2.06,scattered clouds
154,Longyearbyen,SJ,78.2186,15.6401,263.06,85,75,2.06,light snow
155,Russell,US,32.3502,-85.1999,280.75,56,40,5.66,scattered clouds
156,Severo-Kurilsk,RU,50.6789,156.125,267.36,72,25,3.97,scattered clouds
157,Nuuk,GL,64.1835,-51.7216,265.49,93,100,10.8,light snow
158,Coahuayana,MX,18.7333,-103.6833,298.86,36,42,1.56,scattered clouds
159,Bathsheba,BB,13.2167,-59.5167,301.49,57,20,11.32,few clouds
160,Hithadhoo,MV,-0.6,73.0833,301.14,75,100,5.07,overcast clouds
161,Sosua,DO,19.7667,-70.5167,298.1,78,40,4.12,scattered clouds
162,Cape Town,ZA,-33.9258,18.4232,298.64,62,20,12.86,few clouds
163,Imbituba,BR,-28.24,-48.6703,304.16,52,1,5.21,clear sky
164,Talara,PE,-4.5772,-81.2719,301.57,47,0,7.72,clear sky
165,Bengkulu,ID,-3.8004,102.2655,298.66,86,100,1.59,overcast clouds
166,Bambous Virieux,MU,-20.3428,57.7575,301.29,78,40,3.09,scattered clouds
167,Hailar,CN,49.2,119.7,239.26,100,85,0.7,overcast clouds
168,Ushibuka,JP,32.1906,130.0228,283.58,76,100,4.79,light rain
169,Ponta Do Sol,PT,32.6667,-17.1,292.99,68,50,2.29,scattered clouds
170,Arman,RU,59.7,150.1667,249.3,80,39,3.88,scattered clouds
171,Rossland,CA,49.0831,-117.8022,265.18,88,91,0.86,overcast clouds
172,Lagoa,PT,39.05,-27.9833,287.51,64,98,3.83,overcast clouds
173,Yulara,AU,-25.2406,130.9889,299.06,25,0,3.09,clear sky
174,Taoudenni,ML,22.6783,-3.9836,297.27,16,0,6.92,clear sky
175,Asyut,EG,27.181,31.1837,295.25,19,0,4.71,clear sky
176,Payakumbuh,ID,-0.2202,100.6308,295.14,96,99,1.03,overcast clouds
177,Daru,PG,-9.0763,143.2092,299.84,76,18,4.99,few clouds
178,La Ronge,CA,55.1001,-105.2842,257.29,85,100,6.17,overcast clouds
179,Inhambane,MZ,-23.865,35.3833,304.14,62,20,3.13,few clouds
180,Korem,ET,12.5058,39.5228,289.49,59,79,4.29,broken clouds
181,Oksfjord,NO,70.2396,22.3479,269.25,90,100,5.36,overcast clouds
182,Vao,NC,-22.6667,167.4833,299.14,87,100,2.98,overcast clouds
